home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
France,Croatia,4,1.1,,2,1.1,,Didier Deschamps,Hugo Lloris,Zlatko Dalić,Luka Modrić,Mario Mandžukić (OG) · 18|Antoine Griezmann (P) · 38|Paul Pogba · 59|Kylian Mbappé · 65,Ivan Perišić · 28|Mario Mandžukić · 69,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Björn Kuipers (4th) · Massimiliano Irrati (VAR),2018-07-15,4–2,Néstor Pitana,,Final,Russia,2018
Belgium,England,2,1.5,,0,1.0,,Roberto Martínez,Eden Hazard,Gareth Southgate,Harry Kane,Thomas Meunier · 4|Eden Hazard · 82,,64406,"Gazprom Arena, Sankt-Petersburg",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Malang Diédhiou (4th) · Mark Geiger (VAR),2018-07-14,2–0,Alireza Faghani,,Third-place match,Russia,2018
Croatia,England,2,1.7,,1,0.6,,Zlatko Dalić,Luka Modrić,Gareth Southgate,Harry Kane,Ivan Perišić · 68|Mario Mandžukić · 109,Kieran Trippier · 5,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Björn Kuipers (4th) · Danny Makkelie (VAR),2018-07-11,2–1,Cüneyt Çakιr,Required Extra Time,Semi-finals,Russia,2018
France,Belgium,1,1.7,,0,0.4,,Didier Deschamps,Hugo Lloris,Roberto Martínez,Eden Hazard,Samuel Umtiti · 51,,64286,"Gazprom Arena, Sankt-Petersburg",Andrés Cunha (Referee) · Nicolás Tarán (AR1) · Mauricio Espinosa (AR2) · César Arturo Ramos (4th) · Massimiliano Irrati (VAR),2018-07-10,1–0,Andrés Cunha,,Semi-finals,Russia,2018
Sweden,England,0,0.5,,2,1.0,,Janne Andersson,Andreas Granqvist,Gareth Southgate,Harry Kane,,Harry Maguire · 30|Dele Alli · 59,39991,"Cosmos Arena, Samara",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Antonio Matéu Lahoz (4th) · Danny Makkelie (VAR),2018-07-07,0–2,Björn Kuipers,,Quarter-finals,Russia,2018
Russia,Croatia,2,1.0,3.0,2,1.7,4.0,Stanislav Cherchesov,Igor Akinfeev,Zlatko Dalić,Luka Modrić,Denis Cheryshev · 31|Mário Fernandes · 115,Andrej Kramarić · 39|Domagoj Vida · 101,44287,"Olimpiyskiy Stadion Fisht, Sochi",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Janny Sikazwe (4th) · Massimiliano Irrati (VAR),2018-07-07,(3) 2–2 (4),Sandro Ricci,Croatia won on penalty kicks following extra time,Quarter-finals,Russia,2018
Uruguay,France,0,0.9,,2,0.5,,Óscar Tabárez,Diego Godín,Didier Deschamps,Hugo Lloris,,Raphaël Varane · 40|Antoine Griezmann · 61,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Alireza Faghani (4th) · Massimiliano Irrati (VAR),2018-07-06,0–2,Néstor Pitana,,Quarter-finals,Russia,2018
Brazil,Belgium,1,2.8,,2,0.5,,Tite,Miranda,Roberto Martínez,Eden Hazard,Renato Augusto · 76,Fernandinho (OG) · 13|Kevin De Bruyne · 32,42873,"Kazan Arena, Kazan",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Jair Marrufo (4th) · Daniele Orsato (VAR),2018-07-06,1–2,Milorad Mažić,,Quarter-finals,Russia,2018
Sweden,Switzerland,1,1.3,,0,0.7,,Janne Andersson,Andreas Granqvist,Vladimir Petković,Valon Behrami,Emil Forsberg · 66,Michael Lang · 90+3,64042,"Gazprom Arena, Sankt-Petersburg",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Nawaf Shukralla (4th) · Daniele Orsato (VAR),2018-07-03,1–0,Damir Skomina,,Round of 16,Russia,2018
Colombia,England,1,0.6,3.0,1,2.1,4.0,José Pekerman,Radamel Falcao,Gareth Southgate,Harry Kane,Yerry Mina · 90+3,Harry Kane (P) · 57,44190,"Otkrytie Arena, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Matt Conger (4th) · Danny Makkelie (VAR),2018-07-03,(3) 1–1 (4),Mark Geiger,England won on penalty kicks following extra time,Round of 16,Russia,2018
Brazil,Mexico,2,2.7,,0,0.7,,Tite,Thiago Silva,Juan Carlos Osorio,Rafael Márquez,Neymar · 51|Roberto Firmino · 88,,41970,"Cosmos Arena, Samara",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Antonio Matéu Lahoz (4th) · Massimiliano Irrati (VAR),2018-07-02,2–0,Gianluca Rocchi,,Round of 16,Russia,2018
